date,forecast
2025-12-06,57.02074
2025-12-07,56.89495
2025-12-08,56.684395
2025-12-09,56.56467
2025-12-10,56.432926
2025-12-11,56.361736
2025-12-12,56.01047
2025-12-13,55.33813
2025-12-14,55.22891
2025-12-15,55.113365
2025-12-16,54.797283
2025-12-17,54.564842
2025-12-18,54.346878
2025-12-19,54.273514
2025-12-20,54.204113
2025-12-21,54.14162
2025-12-22,54.08352
2025-12-23,54.028755
2025-12-24,53.974327
2025-12-25,53.92529
2025-12-26,53.8913
2025-12-27,53.860275
2025-12-28,53.830914
2025-12-29,53.807465
2025-12-30,53.78831
2025-12-31,53.773857
2026-01-01,53.761093
2026-01-02,53.749912
2026-01-03,53.740124
2026-01-04,53.73157
