date,forecast
2025-12-06,52.659218
2025-12-07,55.85
2025-12-08,58.36533
2025-12-09,60.4087
2025-12-10,62.0934
2025-12-11,63.6979
2025-12-12,65.36272
2025-12-13,67.051865
2025-12-14,68.476944
2025-12-15,69.5605
2025-12-16,70.310074
2025-12-17,70.79926
2025-12-18,71.12674
2025-12-19,71.35745
2025-12-20,71.51537
2025-12-21,71.61568
2025-12-22,71.66993
2025-12-23,71.6888
2025-12-24,71.68363
2025-12-25,71.66497
2025-12-26,71.64149
2025-12-27,71.61817
2025-12-28,71.59733
2025-12-29,71.579544
2025-12-30,71.56465
2025-12-31,71.552444
2026-01-01,71.54271
2026-01-02,71.53527
2026-01-03,71.529854
2026-01-04,71.52609
