date,forecast
2025-12-15,58.262653
2025-12-16,58.326187
2025-12-17,58.430367
2025-12-18,58.480045
2025-12-19,58.53424
2025-12-20,58.57196
2025-12-21,58.637157
2025-12-22,58.686058
2025-12-23,58.717377
2025-12-24,58.72982
2025-12-25,58.728287
2025-12-26,58.74969
2025-12-27,58.74917
2025-12-28,58.752308
2025-12-29,58.754814
2025-12-30,58.756676
2025-12-31,58.7581
2026-01-01,58.759163
2026-01-02,58.759975
2026-01-03,58.76052
2026-01-04,58.760918
2026-01-05,58.761147
2026-01-06,58.761307
2026-01-07,58.76146
2026-01-08,58.761536
2026-01-09,58.761612
2026-01-10,58.761658
2026-01-11,58.76169
2026-01-12,58.76172
2026-01-13,58.76174
