date,forecast
2025-12-15,44.064068
2025-12-16,51.775196
2025-12-17,58.7567
2025-12-18,62.516636
2025-12-19,63.83049
2025-12-20,64.26017
2025-12-21,64.47224
2025-12-22,64.58894
2025-12-23,64.66467
2025-12-24,64.68878
2025-12-25,64.719154
2025-12-26,64.75152
2025-12-27,64.79781
2025-12-28,64.82043
2025-12-29,64.83648
2025-12-30,64.84478
2025-12-31,64.84819
2026-01-01,64.84971
2026-01-02,64.85058
2026-01-03,64.8511
2026-01-04,64.85145
2026-01-05,64.851654
2026-01-06,64.85178
2026-01-07,64.85197
2026-01-08,64.85209
2026-01-09,64.852165
2026-01-10,64.852196
2026-01-11,64.85222
2026-01-12,64.85222
2026-01-13,64.85222
