date,forecast
2025-12-15,59.756157
2025-12-16,59.617844
2025-12-17,59.564808
2025-12-18,59.51537
2025-12-19,59.44378
2025-12-20,59.32925
2025-12-21,59.182903
2025-12-22,59.03435
2025-12-23,58.930553
2025-12-24,58.87609
2025-12-25,58.84392
2025-12-26,58.823833
2025-12-27,58.803387
2025-12-28,58.7982
2025-12-29,58.793972
2025-12-30,58.790737
2025-12-31,58.788452
2026-01-01,58.786808
2026-01-02,58.785686
2026-01-03,58.78493
2026-01-04,58.78448
2026-01-05,58.7842
2026-01-06,58.78402
2026-01-07,58.783897
2026-01-08,58.783825
2026-01-09,58.783752
2026-01-10,58.783737
2026-01-11,58.783714
2026-01-12,58.783695
2026-01-13,58.78369
