date,forecast
2025-12-06,69.85106
2025-12-07,69.25568
2025-12-08,68.358185
2025-12-09,67.88957
2025-12-10,67.536476
2025-12-11,67.26312
2025-12-12,67.00178
2025-12-13,66.72807
2025-12-14,66.5112
2025-12-15,66.26366
2025-12-16,65.88775
2025-12-17,65.68234
2025-12-18,65.22914
2025-12-19,65.050156
2025-12-20,64.90807
2025-12-21,64.794205
2025-12-22,64.69721
2025-12-23,64.611725
2025-12-24,64.53454
2025-12-25,64.46378
2025-12-26,64.39905
2025-12-27,64.339325
2025-12-28,64.285194
2025-12-29,64.238434
2025-12-30,64.19667
2025-12-31,64.16263
2026-01-01,64.13325
2026-01-02,64.10762
2026-01-03,64.085106
2026-01-04,64.06516
